Старост,Мушко,Женско
0,31601,29782
1,32951,31125
2,33023,30608
3,33116,31411
4,33234,31086
5,33792,31466
6,34064,31947
7,33419,31636
8,34266,32493
9,33757,31518
10,33879,32177
11,34692,32387
12,34508,32169
13,34002,32051
14,34933,33239
15,35757,34136
16,36684,34465
17,37173,35065
18,36887,34952
19,37153,35204
20,34694,32992
21,35115,32777
22,35825,34061
23,37333,35453
24,39488,37192
25,41736,39141
26,41515,39151
27,42466,40017
28,42177,40377
29,43749,42054
30,43761,41803
31,43911,42279
32,46841,44390
33,47218,45081
34,46739,45138
35,47931,46112
36,49924,48342
37,50173,48342
38,49324,47762
39,48780,47797
40,49896,48432
41,49785,48322
42,50446,48878
43,50496,49312
44,50582,50080
45,50420,49970
46,48820,48380
47,48494,48479
48,46512,47441
49,46789,47007
50,45443,45866
51,45518,46417
52,44324,46449
53,44591,46524
54,44015,46512
55,44940,47538
56,43077,45873
57,44367,47745
58,44253,48326
59,45430,50257
60,46560,51613
61,44413,49375
62,44790,49902
63,42822,49195
64,46114,53385
65,46970,54428
66,49476,57694
67,46789,55431
68,48206,57756
69,38950,48265
70,42792,53633
71,38691,49408
72,36331,47136
73,32693,42633
74,27935,36529
75,18045,25455
76,19437,27562
77,19245,26870
78,18018,26532
79,17738,26453
80,18227,26754
81,16033,24394
82,14290,22509
83,13057,21029
84,11125,17978
85 и више,51436,86670
